"";"4WHA_C5_S24";"4WHA_C6_S25";"4WHA_C7_S26";"4WHA_C8_S27";"4WHA_H5_S47";"4WHA_H6_S48";"4WHA_H7_S49";"4WHA_H8_S50";"C10_S37";"C7_S34";"C8_S35";"C9_S36";"CV1_H_S28";"CV2_H_S29";"CV3_H_S30";"CV4_H_S31";"CV5_H_S32";"CV6_H_S33";"HA1_H_S38";"HA2_H_S39";"HA3_H_S40";"HA4_H_S41";"HA5_H_S42";"HA6_H_S43";"HA7_H_S44";"HA8_H_S45";"HA9_H_S46";"Pool_control_S51"
"ASV96";"639";"89";"158";"0";"230";"23";"22";"0";"16";"0";"0";"158";"0";"0";"0";"0";"0";"54";"226";"221";"0";"0";"0";"109";"18";"55";"43";"0"
"ASV97";"0";"48";"982";"107";"38";"0";"404";"39";"0";"0";"21";"25";"0";"25";"12";"0";"0";"70";"52";"102";"0";"0";"0";"0";"11";"27";"30";"0"
"ASV98";"0";"0";"0";"0";"44";"0";"0";"0";"9";"151";"203";"57";"17";"64";"96";"105";"136";"82";"124";"0";"0";"210";"478";"157";"41";"0";"18";"0"
"ASV99";"216";"39";"166";"36";"0";"31";"0";"0";"0";"75";"23";"30";"36";"62";"76";"46";"58";"34";"196";"111";"0";"86";"40";"167";"94";"169";"157";"0"
"ASV100";"0";"0";"0";"37";"0";"0";"0";"0";"0";"25";"73";"0";"304";"256";"135";"80";"33";"76";"183";"29";"0";"18";"49";"79";"82";"376";"91";"0"
"ASV101";"0";"31";"0";"0";"0";"0";"0";"0";"0";"561";"156";"43";"267";"73";"231";"149";"87";"281";"0";"0";"0";"0";"0";"0";"0";"0";"45";"0"
"ASV102";"0";"0";"0";"0";"0";"45";"0";"0";"29";"0";"46";"0";"0";"0";"0";"0";"226";"0";"770";"0";"0";"0";"513";"234";"0";"0";"0";"0"
"ASV103";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1439";"415";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV104";"0";"0";"0";"0";"0";"0";"0";"0";"76";"26";"77";"23";"26";"246";"0";"225";"102";"263";"64";"124";"58";"185";"124";"121";"38";"30";"13";"0"
"ASV105";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"68";"0";"0";"502";"314";"445";"0";"93";"35";"20";"0";"0";"0";"87";"193";"15"
