"4WHA_C5_S24","4WHA_C6_S25","4WHA_C7_S26","4WHA_C8_S27","4WHA_H5_S47","4WHA_H6_S48","4WHA_H7_S49","4WHA_H8_S50","C10_S37","C7_S34","C8_S35","C9_S36","CV1_H_S28","CV2_H_S29","CV3_H_S30","CV4_H_S31","CV5_H_S32","CV6_H_S33","HA1_H_S38","HA2_H_S39","HA3_H_S40","HA4_H_S41","HA5_H_S42","HA6_H_S43","HA7_H_S44","HA8_H_S45","HA9_H_S46","Pool_control_S51"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,386,2309,0,0,375,0
0,0,0,0,122,210,71,36,0,0,35,0,0,284,0,0,99,0,408,57,108,213,199,320,671,667,44,0
0,22,560,0,0,0,0,0,106,0,0,0,15,14,0,1855,251,634,0,0,0,0,0,0,0,34,0,0
0,0,0,0,0,0,0,0,15,0,0,1452,0,233,0,19,0,0,0,0,0,0,0,0,717,945,0,0
6,1,0,0,0,0,0,0,0,104,67,0,387,1452,121,51,23,152,168,24,25,19,35,82,61,200,295,0
0,0,0,0,885,0,0,0,0,0,16,0,62,371,0,0,22,160,1402,196,0,0,0,31,31,37,40,0
0,0,3252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,62,0,119,0,0,0,0,0,131,48,0,14,28,169,158,0,333,0,0,105,1942,0,0,50,55,0,0
48,31,0,23,457,0,0,0,43,156,244,0,463,471,68,31,10,87,198,24,64,58,44,97,57,328,185,0
0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,1432,0,0,976,0,598,0
550,170,0,377,647,175,33,239,177,85,0,16,0,0,0,211,29,294,8,0,22,25,0,0,42,0,0,0
0,0,0,116,0,0,0,0,228,382,200,392,200,227,244,193,238,225,94,0,0,0,0,167,69,61,63,0
166,181,1301,90,113,136,457,59,0,0,0,0,75,25,0,0,0,0,25,59,0,0,0,0,90,161,63,0
219,189,1289,94,75,163,459,40,0,0,0,0,58,0,0,0,0,0,0,85,0,0,0,0,82,136,0,0
0,0,39,0,128,579,45,802,0,0,0,0,0,0,0,131,523,146,0,0,0,0,0,225,0,0,123,0
0,0,0,37,102,110,89,0,147,0,0,63,43,93,53,29,89,0,259,162,0,111,148,177,40,277,514,0
111,90,0,0,0,0,154,0,0,0,13,86,491,0,0,0,0,0,0,0,332,351,345,470,0,0,32,0
24,426,87,101,541,197,193,127,0,0,5,0,27,111,21,15,10,4,101,82,0,26,69,73,31,69,36,0
0,0,0,0,0,0,0,0,0,153,102,21,252,271,96,252,135,72,354,80,23,20,32,69,136,127,174,0
0,0,0,0,0,0,0,0,501,27,69,114,593,753,30,0,164,0,0,0,0,0,0,0,13,0,0,0
0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,40,17,0,75,238,49,460,218,234,701,129,88,0
0,0,0,0,0,0,0,0,61,721,0,216,0,87,0,440,50,407,72,0,0,207,0,0,0,0,0,0
0,112,159,0,41,206,966,487,0,0,0,0,0,0,0,0,0,0,0,114,31,0,0,70,0,0,0,0
425,41,408,0,129,16,67,60,0,0,0,0,0,16,0,0,0,0,74,0,57,145,157,0,47,284,245,0
0,0,0,49,0,0,0,0,0,72,0,0,46,622,0,24,53,0,948,91,0,43,16,97,0,107,0,0
146,73,97,62,232,21,50,15,33,0,109,115,0,0,18,0,109,0,174,84,0,76,31,59,186,95,343,0
0,21,46,278,113,142,69,128,0,0,0,22,0,0,0,0,68,0,0,0,0,0,606,0,305,234,93,0
0,28,483,24,1060,264,102,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,241,0,170,37,0,68,95,471,13,715,0,28,0,45,0,0,0,52,168,15,0
0,0,0,0,0,0,0,0,0,128,53,0,586,801,211,0,0,0,0,0,0,41,47,63,0,0,137,0
570,219,66,87,62,368,261,344,0,31,0,0,0,0,8,12,0,18,0,12,0,7,0,0,0,0,0,0
637,87,153,0,225,24,20,0,0,0,0,150,0,0,0,0,0,54,223,217,0,0,0,109,19,52,43,0
0,0,0,0,44,0,0,0,8,150,202,59,17,62,98,103,139,81,124,0,0,213,478,153,41,0,18,0
0,48,976,106,35,0,408,40,0,0,20,20,0,21,0,0,0,68,49,97,0,0,0,0,11,27,27,0
0,31,0,0,0,0,0,0,0,564,157,44,267,75,229,145,87,281,0,0,0,0,0,0,0,0,45,0
215,37,167,35,0,27,0,0,0,72,23,31,33,60,73,46,56,34,189,111,0,85,40,165,95,167,156,0
0,0,0,0,0,0,0,0,0,1446,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,47,0,0,28,0,45,0,0,0,0,0,225,0,764,0,0,0,513,231,0,0,0,0
0,0,0,41,0,0,0,0,0,24,70,0,286,237,136,71,32,75,169,28,0,17,48,76,81,348,77,0
0,0,0,0,0,0,0,0,75,26,76,23,25,246,0,225,102,261,62,123,56,182,123,120,38,30,13,0
